Hisse,Grup,n_olay,Ortalama_CAR,Std_CAR,t_istatistik,p_deger,Anlamli_p05
CL=F,Emtia_Makro,5,-0.042912,0.069625,-1.378150,0.240226,Hayir
XLF,Odak_Sektor,5,0.015644,0.031676,1.104317,0.331415,Hayir
XLV,Odak_Sektor,5,0.011622,0.023821,1.090908,0.336623,Hayir
GLD,Emtia_Makro,5,-0.025998,0.054595,-1.064787,0.346979,Hayir
XLE,Odak_Sektor,5,-0.034902,0.080964,-0.963937,0.389664,Hayir
XLRE,Kontrol_Grubu,5,-0.010648,0.027295,-0.872348,0.432254,Hayir
XLP,Kontrol_Grubu,5,-0.011822,0.036778,-0.718766,0.512034,Hayir
XLY,Kontrol_Grubu,5,-0.006102,0.020957,-0.651057,0.550518,Hayir
XLK,Odak_Sektor,5,0.002214,0.028882,0.171385,0.872242,Hayir
ITA,Odak_Sektor,5,0.004453,0.068822,0.144688,0.891955,Hayir
