Hisse,Grup,n,Ortalama_AR_T0,Std_AR_T0,t_istatistik,p_deger,Anlamli_p05
XLE,Odak_Sektor,5,-0.006499,0.009705,-1.497431,0.208632,Hayir
XLF,Odak_Sektor,5,-0.006393,0.012650,-1.130050,0.321627,Hayir
XLP,Kontrol_Grubu,5,-0.006027,0.015559,-0.866213,0.435239,Hayir
XLK,Odak_Sektor,5,0.003202,0.009303,0.769510,0.484513,Hayir
ITA,Odak_Sektor,5,-0.005884,0.022807,-0.576849,0.594950,Hayir
GLD,Emtia_Makro,5,0.007542,0.029449,0.572666,0.597523,Hayir
XLRE,Kontrol_Grubu,5,-0.000926,0.003765,-0.549926,0.611633,Hayir
CL=F,Emtia_Makro,5,0.000830,0.007948,0.233561,0.826792,Hayir
XLV,Odak_Sektor,5,0.000858,0.009668,0.198513,0.852325,Hayir
XLY,Kontrol_Grubu,5,0.000462,0.006023,0.171443,0.872199,Hayir
